tahun_anggaran,kd_klpd,nama_klpd,jenis_klpd,kd_satker,kd_program,kd_program_str,nama_program,pagu_program,kd_program_lokal,is_deleted,_event_date
2025,"D107","Kab. Bandung","KABUPATEN",152302,2550334,"5.02.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",21899236634,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152302,2550335,"5.02.04","PROGRAM PENGELOLAAN PENDAPATAN DAERAH",31168062058,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60414,2553309,"1.02.02","PROGRAM PEMENUHAN UPAYA KESEHATAN PERORANGAN DAN UPAYA KESEHATAN MASYARAKAT",357951701123,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60414,2553310,"1.02.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",10013975267,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60414,2553311,"1.02.05","PROGRAM PEMBERDAYAAN MASYARAKAT BIDANG KESEHATAN",264951700,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60414,2553312,"1.02.03","PROGRAM PENINGKATAN KAPASITAS SUMBER DAYA MANUSIA KESEHATAN",22880993420,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60414,2553313,"1.02.04","PROGRAM SEDIAAN FARMASI, ALAT KESEHATAN DAN MAKANAN MINUMAN",937182000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",314489,2553950,"2.08.04","PROGRAM PENINGKATAN KUALITAS KELUARGA",440972500,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",314489,2553951,"2.14.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",999327296,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",314489,2553952,"2.08.02","PROGRAM PENGARUSUTAMAAN GENDER DAN PEMBERDAYAAN PEREMPUAN",1092231850,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",314489,2553953,"2.14.03","PROGRAM PEMBINAAN KELUARGA BERENCANA (KB)",13202980296,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",314489,2553954,"2.08.03","PROGRAM PERLINDUNGAN PEREMPUAN",82832860,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",314489,2553955,"2.08.05","PROGRAM PENGELOLAAN SISTEM DATA GENDER DAN ANAK",66246000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",314489,2553956,"2.14.04","PROGRAM PEMBERDAYAAN DAN PENINGKATAN KELUARGA SEJAHTERA (KS)",17188840257,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",314489,2553957,"2.14.02","PROGRAM PENGENDALIAN PENDUDUK",757840968,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",314489,2553958,"2.08.07","PROGRAM PERLINDUNGAN KHUSUS ANAK",325701930,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",314489,2553959,"2.08.06","PROGRAM PEMENUHAN HAK ANAK (PHA)",113662350,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",314482,2554166,"3.25.05","PROGRAM PENGAWASAN SUMBER DAYA KELAUTAN DAN PERIKANAN",123038700,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",314482,2554167,"3.25.04","PROGRAM PENGELOLAAN PERIKANAN BUDIDAYA",8417217500,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",314482,2554168,"2.09.03","PROGRAM PENINGKATAN DIVERSIFIKASI DAN KETAHANAN PANGAN MASYARAKAT",12942043615,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",314482,2554169,"2.09.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",4535659730,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",314482,2554170,"3.25.03","PROGRAM PENGELOLAAN PERIKANAN TANGKAP",237720000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",314482,2554171,"3.25.06","PROGRAM PENGOLAHAN DAN PEMASARAN HASIL PERIKANAN",1340830350,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",314482,2554172,"2.09.05","PROGRAM PENGAWASAN KEAMANAN PANGAN",1211259000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",314482,2554173,"2.09.04","PROGRAM PENANGANAN KERAWANAN PANGAN",420586400,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",314482,2554174,"2.09.02","PROGRAM PENGELOLAAN SUMBER DAYA EKONOMI UNTUK KEDAULATAN dan KEMANDIRIAN PANGAN",290406000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",361176,2554605,"2.16.03","PROGRAM PENGELOLAAN APLIKASI INFORMATIKA",13977479801,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",361176,2554606,"2.21.02","PROGRAM PENYELENGGARAAN PERSANDIAN UNTUK PENGAMANAN INFORMASI",1216707700,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",361176,2554607,"2.16.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",3752946336,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",361176,2554608,"2.16.02","PROGRAM PENGELOLAAN INFORMASI DAN KOMUNIKASI PUBLIK",4968477260,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",361176,2554609,"2.20.02","PROGRAM PENYELENGGARAAN STATISTIK SEKTORAL",924503022,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60422,2555387,"1.06.07","PROGRAM PENGELOLAAN TAMAN MAKAM PAHLAWAN",95057735,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60422,2555388,"1.06.06","PROGRAM PENANGANAN BENCANA",2687892200,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60422,2555389,"1.06.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",5417312031,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60422,2555390,"1.06.04","PROGRAM REHABILITASI SOSIAL",7552225570,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60422,2555391,"1.06.05","PROGRAM PERLINDUNGAN DAN JAMINAN SOSIAL",14108185600,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60422,2555392,"1.06.03","PROGRAM PENANGANAN WARGA NEGARA MIGRAN KORBAN TINDAK KEKERASAN",38984400,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60422,2555393,"1.06.02","PROGRAM PEMBERDAYAAN SOSIAL",3971530048,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60492,2558381,"7.01.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",820960728,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60492,2558382,"7.01.03","PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN",140300000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60492,2558383,"7.01.05","PROGRAM PENYELENGGARAAN URUSAN PEMERINTAHAN UMUM",135500000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60492,2558384,"7.01.06","PROGRAM PEMBINAAN DAN PENGAWASAN PEMERINTAHAN DESA",132500000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60492,2558385,"7.01.02","PROGRAM PENYELENGGARAAN PEMERINTAHAN DAN PELAYANAN PUBLIK",252367771,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60492,2558386,"7.01.04","PROGRAM KOORDINASI KETENTRAMAN DAN KETERTIBAN UMUM",65000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60458,2561349,"1.02.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",69209800902,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60458,2561350,"1.02.02","PROGRAM PEMENUHAN UPAYA KESEHATAN PERORANGAN DAN UPAYA KESEHATAN MASYARAKAT",4427978000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60458,2562421,"1.02.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",69209800902,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563379,"2.23.02","PROGRAM PEMBINAAN PERPUSTAKAAN",6465574947,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,"2.23.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",2552346178,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563381,"2.24.02","PROGRAM PENGELOLAAN ARSIP",261855899,0,false,"2025-10-10"
