tahun_anggaran,kd_klpd,nama_klpd,jenis_klpd,kd_satker,kd_program,kd_kegiatan,kd_subkegiatan,kd_subkegiatan_str,nama_subkegiatan,pagu_subkegiatan,kd_subkegiatan_lokal,is_deleted,_event_date
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563381,13067282,14662290,"2.24.02.2.01.0002","Pemeliharaan dan Penyusutan Arsip Dinamis",49966600,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067283,14662291,"2.23.01.2.07.0010","Pengadaan Sarana dan Prasarana Gedung Kantor atau Bangunan Lainnya",23954650,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563381,13067284,14662292,"2.24.02.2.02.0004","Akuisisi, Pengolahan, Preservasi, dan Akses Arsip Statis",42751784,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067285,14662293,"2.23.01.2.06.0004","Penyediaan Bahan Logistik Kantor",27740700,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067285,14662294,"2.23.01.2.06.0005","Penyediaan Barang Cetakan dan Penggandaan",27854800,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563379,13067280,14662295,"2.23.02.2.01.0018","Pengelolaan dan Pengembangan Bahan Perpustakaan",147733058,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563381,13067282,14662296,"2.24.02.2.01.0003","Pengawasan Arsip Dinamis Kewenangan Kabupaten/Kota",20197277,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067285,14662297,"2.23.01.2.06.0003","Penyediaan Peralatan Rumah Tangga",0,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067285,14662298,"2.23.01.2.06.0002","Penyediaan Peralatan dan Perlengkapan Kantor",149182250,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067286,14662299,"2.23.01.2.08.0004","Penyediaan Jasa Pelayanan Umum Kantor",1548989560,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563379,13067287,14662300,"2.23.02.2.02.0009","Pemberian Penghargaan Gerakan Budaya Gemar Membaca",99028013,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067288,14662301,"2.23.01.2.01.0009","Pelaksanaan Pengumpulan Data Statistik Sektoral Daerah",999600,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563379,13067287,14662302,"2.23.02.2.02.0007","Pengembangan Literasi Berbasis Inklusi Sosial",5862852263,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563382,13067289,14662303,"2.23.03.2.01.0004","Pengembangan, Pengolahan dan Pengalihmediaan Naskah Kuno yang Dimiliki oleh Masyarakat untuk Dilestarikan dan Didayagunakan",20831164,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067288,14662304,"2.23.01.2.01.0001","Penyusunan Dokumen Perencanaan Perangkat Daerah",84248599,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067288,14662305,"2.23.01.2.01.0008","Penyelenggaraan Walidata Pendukung Statistik Sektoral Daerah",999600,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067288,14662306,"2.23.01.2.01.0003","Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD",5212425,0,false,"2025-10-10"
